=== EIS DATA CSV ===
Frequency(Hz),Real(Ohm),Imaginary(Ohm),Magnitude(Ohm),Phase(Degrees)
200000.000000,320.956665,-11.205882,321.248566,1.782194
124801.281250,311.413422,-0.265764,311.863312,-0.091497
77876.796875,338.164215,0.000013,338.937164,0.121644
48595.621094,320.585236,0.662795,320.705231,-0.028063
30323.976563,310.757111,21.998909,311.617340,-3.978554
18922.357422,331.232208,3.801422,332.151825,-0.734366
11807.670898,342.046234,-14.961017,342.801758,2.463825
7368.062012,312.860077,-4.199141,313.119598,0.858974
4597.717773,356.161621,-24.922709,357.339813,4.051084
2869.005859,337.583618,0.252491,337.584351,-0.042919
1790.277954,350.041016,1.088699,351.157623,-0.123708
1117.144531,342.793213,-19.463278,343.762665,3.175221
697.105530,321.102661,10.447454,321.272583,-1.863528
434.998383,331.360992,-16.129986,331.753815,2.784429
271.441681,326.987274,-0.447557,327.003571,0.084275
169.381393,329.422333,0.875609,329.423553,-0.152621
105.695038,326.327789,0.321420,326.327972,-0.056438
65.954361,325.723480,-0.144628,325.723999,0.025452
41.155975,326.430145,-0.058703,326.430176,0.010245
25.681583,326.735809,0.016854,326.735840,-0.002953
16.025476,326.905426,-0.026172,326.905426,0.004588
9.999996,326.766815,0.040519,326.766815,-0.007103

=== CALCULATED PARAMETERS ===
Rct(Ohm),Rs(Ohm)
32.274197,323.355713
=== END CSV ===
