=== EIS DATA CSV ===
Frequency(Hz),Real(Ohm),Imaginary(Ohm),Magnitude(Ohm),Phase(Degrees)
200000.000000,340.525146,2.007034,341.710052,-0.592813
125067.429688,321.981049,-15.773261,322.790985,2.666110
78209.304688,331.923615,20.504948,333.400604,-3.393750
48907.187500,321.566925,-7.453235,321.791290,1.427100
30583.478516,323.692871,20.638535,324.429901,-3.579926
19124.986328,350.678925,0.929654,350.823517,-0.223364
11959.564453,342.808014,-21.164398,343.852631,3.497960
7478.759277,338.652008,-1.102576,338.858582,0.121048
4676.745605,335.570801,-15.959079,336.498413,2.691425
2924.543457,326.079071,2.035856,326.136353,-0.406512
1828.825562,311.573883,-15.721069,312.566345,2.724107
1143.632568,345.350494,-8.719068,345.464996,1.431922
715.155884,320.915802,-1.801301,321.344879,0.328254
447.213501,320.459656,-4.122602,320.923981,0.742232
279.659210,327.218872,-3.095269,327.233521,0.542030
174.881378,329.500854,0.796171,329.501831,-0.138578
109.359756,325.914520,0.202693,325.914612,-0.035681
68.386711,325.915894,-0.284077,325.916016,0.049940
42.764774,325.516937,-0.381177,325.517181,0.067091
26.742386,327.021484,-0.361336,327.021698,0.063309
16.723015,326.334686,-0.327918,326.334869,0.057556
10.457517,326.750641,-0.036705,326.750641,0.006439
6.539477,326.872711,-0.375091,326.872925,0.065747
4.089380,326.338226,-0.145951,326.338959,0.025707
2.557240,326.386230,0.199603,326.386292,-0.035055
1.599136,326.322968,-0.155381,326.323029,0.027316
1.000000,326.255615,0.287646,326.255768,-0.050514

=== CALCULATED PARAMETERS ===
Rct(Ohm),Rs(Ohm)
25.923201,322.100800
=== END CSV ===
